analysis_type	analysis_subtype	analysis_name	group1_samples	group2_samples	N_test	N_chunk
oligo_activity	sample	K562_TNFa_R1	K562_TNFa_R1		11542	21
oligo_activity	sample	K562_TNFa_R2	K562_TNFa_R2		11528	21
oligo_activity	sample	K562_TNFa_R3	K562_TNFa_R3		11516	21
oligo_activity	sample	K562_DEX_R1	K562_DEX_R1		11542	21
oligo_activity	sample	K562_DEX_R2	K562_DEX_R2		11528	21
oligo_activity	sample	K562_DEX_R3	K562_DEX_R3		11516	21
emVars	celltype	A549-ACE2_all	A549-ACE2_NS_R1,A549-ACE2_NS_R2-P3,A549-ACE2_NS_R3-P3,A549-ACE2_SARS_R1-P3,A549-ACE2_SARS_R2-P3,A549-ACE2_SARS_R3-P3,A549-ACE2_IAV_R1-P3,A549-ACE2_IAV_R2,A549-ACE2_IAV_R3,A549-ACE2_TNFa_R1,A549-ACE2_TNFa_R2,A549-ACE2_TNFa_R3		5711	21
emVars	celltype	HepG2_all	HepG2_NS_R1,HepG2_NS_R2,HepG2_NS_R3,HepG2_NS_R4,HepG2_NS_R5,HepG2_IFNA2b_R1,HepG2_IFNA2b_R2,HepG2_IFNA2b_R3,HepG2_IFNA2b_R4,HepG2_DEX_R1,HepG2_DEX_R2,HepG2_DEX_R3,HepG2_TNFa_R1,HepG2_TNFa_R2,HepG2_TNFa_R3		5735	29
emVars	celltype	K562_all	K562_NS_R1,K562_NS_R2,K562_NS_R3,K562_NS_R4,K562_NS_R5,K562_IFNA2b_R1,K562_IFNA2b_R2,K562_IFNA2b_R3,K562_IFNA2b_R4,K562_DEX_R1,K562_DEX_R2,K562_DEX_R3,K562_TNFa_R1,K562_TNFa_R2,K562_TNFa_R3		5735	26
emVars	celltype_cond	A549-ACE2_IAV_all	A549-ACE2_IAV_R1-P3,A549-ACE2_IAV_R2,A549-ACE2_IAV_R3		5711	13
emVars	celltype_cond	A549-ACE2_NS_all	A549-ACE2_NS_R1,A549-ACE2_NS_R2-P3,A549-ACE2_NS_R3-P3		5710	13
emVars	celltype_cond	A549-ACE2_SARS_all	A549-ACE2_SARS_R1-P3,A549-ACE2_SARS_R2-P3,A549-ACE2_SARS_R3-P3		5709	13
emVars	celltype_cond	A549-ACE2_TNFa_all	A549-ACE2_TNFa_R1,A549-ACE2_TNFa_R2,A549-ACE2_TNFa_R3		5708	13
emVars	celltype_cond	HepG2_DEX_all	HepG2_DEX_R1,HepG2_DEX_R2,HepG2_DEX_R3		5735	14
emVars	celltype_cond	HepG2_IFNA2b_all	HepG2_IFNA2b_R1,HepG2_IFNA2b_R2,HepG2_IFNA2b_R3,HepG2_IFNA2b_R4		5734	16
